id,seed,rue_efficiency_factor,pest_infection_prob,pest_daily_increment,toxicity_per_straw_unit,solar_rad_threshold,max_diffuse_bonus,max_light_limit,steepness_factor,error_yield,error_pesticide,fitness
52,8.55411063835043E18,0.69,0.5,0.09,0.024,26.0,1.9,21.4,10.7,0.12914326703728427,0.12318982219183158,0.3814763562664001
53,8.55411063835043E18,0.64,0.7,0.04,0.093,15.0,1.9,21.8,2.7,0.08862727326352546,0.08544229138521803,0.26269683791226894
54,8.55411063835043E18,0.63,0.7,0.04,0.093,15.0,0.7,20.3,3.6,0.13452030944429821,0.08544229138521803,0.35448291027381446
55,8.55411063835043E18,0.69,0.5,0.09,0.009,45.0,1.6,24.1,13.7,0.3912264183782328,0.12318982219183158,0.9056426589482972
56,8.55411063835043E18,0.63,0.4,0.08,0.009,45.0,1.1,17.4,6.4,0.08883319986259308,0.0913470139618715,0.26901341368705767
57,8.55411063835043E18,0.52,0.5,0.04,0.057,34.0,1.9,21.8,2.7,0.5609713075988219,0.11505052644573319,1.2369931416433768
58,8.55411063835043E18,0.64,0.5,0.08,0.009,45.0,1.9,21.8,2.7,1.0137989646661358,0.1168857975297048,2.1444837268619765
59,8.55411063835043E18,0.64,0.5,0.09,0.009,45.0,1.1,17.4,10.7,0.15923221720977537,0.12318982219183158,0.44165425661138236
60,8.55411063835043E18,0.64,0.5,0.08,0.097,26.0,1.1,17.4,10.7,0.2994100406494772,0.1168857975297048,0.7157058788286592
61,8.55411063835043E18,0.64,0.4,0.09,0.097,19.0,0.3,23.8,4.5,0.07169775062520883,0.10097211797549557,0.24436761922591324
62,8.55411063835043E18,0.64,0.7,0.04,0.057,34.0,0.7,20.3,3.6,0.16694529765790003,0.08544229138521803,0.4193328867010181
63,8.55411063835043E18,0.64,0.7,0.04,0.093,19.0,0.3,23.8,4.5,0.0603104930076967,0.08544229138521803,0.20606327740061142
64,8.55411063835043E18,0.64,0.4,0.08,0.097,34.0,0.7,20.3,3.6,0.15726454649566574,0.0913470139618715,0.405876106953203
