id,seed,rue_efficiency_factor,pest_infection_prob,pest_daily_increment,daily_water_loss_mm,max_water_capacity,max_toxicity_penalty,error_yield,error_pesticide,error_water,fitness
908,6.583393530656029E18,0.6056415406108215,0.7566811694848511,0.030182198255810998,10.794863941953908,110.5737592494359,0.626744143451528,0.006573124886104893,0.018878625830497275,0.08701871643591627,0.17162859112746248
911,1.6398957382076682E18,0.6056415406108215,0.7566811694848511,0.030182198255810998,10.794863941953908,110.5737592494359,0.626744143451528,0.006569855238476034,0.019769891427645545,0.08701871643591627,0.17248716024832217
910,4.750742346495651E18,0.6056415406108215,0.7566811694848511,0.030182198255810998,10.794863941953908,110.5737592494359,0.626744143451528,0.006579887139884221,0.020397828552908785,0.08701871643591627,0.17321541638766724
913,3.993681220280917E18,0.6102736192490638,0.7469591944451149,0.029693543170077323,11.007723584499512,109.88129766385555,0.6195364381736896,0.0067599846279957935,0.006259115216334427,0.0858191054912069,0.15967806698749926
912,6.583393530656029E18,0.6102736192490638,0.7469591944451149,0.029693543170077323,11.007723584499512,109.88129766385555,0.6195364381736896,0.00674311332193587,0.007697293793550422,0.0858191054912069,0.16094753250411603
915,1.6398957382076682E18,0.6102736192490638,0.7469591944451149,0.029693543170077323,11.007723584499512,109.88129766385555,0.6195364381736896,0.006747978356825964,0.006117322962242836,0.0858191054912069,0.15941621202170936
914,4.750742346495651E18,0.6102736192490638,0.7469591944451149,0.029693543170077323,11.007723584499512,109.88129766385555,0.6195364381736896,0.006748742893878132,0.007190892886080133,0.0858191054912069,0.16049742731606836
916,6.583393530656029E18,0.5814525175140967,0.7621375507936886,0.028867546100369467,10.725789273159481,111.51965258637357,0.6351614644510416,0.007292814219668742,0.007049100631988381,0.08781960902792747,0.16779685185660326
919,1.6398957382076682E18,0.5814525175140967,0.7621375507936886,0.028867546100369467,10.725789273159481,111.51965258637357,0.6351614644510416,0.007257414175040669,0.007778317938745616,0.08781960902792747,0.1681720687170798
918,4.750742346495651E18,0.5814525175140967,0.7621375507936886,0.028867546100369467,10.725789273159481,111.51965258637357,0.6351614644510416,0.00730085822899824,0.008548047318100771,0.08781960902792747,0.16937623863601065
917,3.993681220280917E18,0.5814525175140967,0.7621375507936886,0.028867546100369467,10.725789273159481,111.51965258637357,0.6351614644510416,0.007292304376814463,0.009175984443364012,0.08781960902792747,0.16991863723943612
920,6.583393530656029E18,0.5993325693162214,0.7707602610349467,0.028980281966508797,10.432770659946407,113.09130139854446,0.6499990163025445,0.006555530610762055,0.015293307405606688,0.0914412013403111,0.17228981485353834
923,1.6398957382076682E18,0.5993325693162214,0.7707602610349467,0.028980281966508797,10.432770659946407,113.09130139854446,0.6499990163025445,0.0065647641549822135,0.014402041808458903,0.0914412013403111,0.17149088469859214
922,4.750742346495651E18,0.5993325693162214,0.7707602610349467,0.028980281966508797,10.432770659946407,113.09130139854446,0.6499990163025445,0.006553133688659002,0.016285853184248952,0.0914412013403111,0.17325839141115007
921,3.993681220280917E18,0.5993325693162214,0.7707602610349467,0.028980281966508797,10.432770659946407,113.09130139854446,0.6499990163025445,0.006546493385025637,0.014847674607032795,0.0914412013403111,0.17175380979760024
924,6.583393530656029E18,0.5892538334732648,0.6929968853074606,0.028039941890795256,10.906894979735606,112.31410569231666,0.626313218990091,0.007049350982301848,0.05953249068222326,0.08690877313325013,0.21693477363849187
927,1.6398957382076682E18,0.5892538334732648,0.6929968853074606,0.028039941890795256,10.906894979735606,112.31410569231666,0.626313218990091,0.00704458641628027,0.059107113919948,0.08690877313325013,0.21646175121600084
925,3.993681220280917E18,0.5892538334732648,0.6929968853074606,0.028039941890795256,10.906894979735606,112.31410569231666,0.626313218990091,0.007047745008556662,0.06044401231567,0.08690877313325013,0.21783023553448674
