id,seed,protection_coefficient,max_soil_health,salinity_sensitivity_slope,salinity_sterility_threshold,sterility_penalty_rate,max_sterility_penalty,error_yield,fitness
162,2.438347332235726E18,0.7,0.7,0.1,6.4,0.04,0.3,0.19042293005383074,0.9521146502691537
163,2.438347332235726E18,0.45,0.85,0.1,6.8,0.095,0.25,0.043506454238144705,0.21753227119072352
164,2.438347332235726E18,0.45,0.85,0.15,6.8,0.065,0.3,0.045114267009875225,0.22557133504937613
165,2.438347332235726E18,0.45,0.95,0.1,6.4,0.04,0.3,0.10576283842810767,0.5288141921405384
166,2.438347332235726E18,0.45,0.95,0.1,6.4,0.05,0.3,0.10570352981479991,0.5285176490739996
167,2.438347332235726E18,0.45,0.85,0.1,6.8,0.05,0.25,0.043506454238144705,0.21753227119072352
168,2.438347332235726E18,0.45,0.85,0.1,6.4,0.05,0.25,0.04325475557169416,0.21627377785847082
169,2.438347332235726E18,0.4,0.85,0.1,6.4,0.095,0.3,0.05089254107059579,0.254462705352979
170,2.438347332235726E18,0.45,0.85,0.1,6.8,0.05,0.1,0.055677776176497384,0.2783888808824869
171,2.438347332235726E18,0.45,0.85,0.1,6.4,0.095,0.25,0.04325475557169416,0.21627377785847082
172,2.438347332235726E18,0.45,0.85,0.1,6.8,0.045,0.25,0.043506454238144705,0.21753227119072352
173,2.438347332235726E18,0.25,0.85,0.1,6.8,0.095,0.25,0.0683704266061839,0.34185213303091955
174,2.438347332235726E18,0.25,0.85,0.1,6.8,0.05,0.25,0.0683704266061839,0.34185213303091955
175,2.438347332235726E18,0.25,0.85,0.1,6.4,0.05,0.3,0.07990279796629572,0.3995139898314786
176,2.438347332235726E18,0.45,0.85,0.1,6.4,0.08,0.3,0.04452814647378937,0.22264073236894688
177,2.438347332235726E18,0.45,0.85,0.1,3.4,0.065,0.3,0.04546448602694005,0.22732243013470027
178,2.438347332235726E18,0.45,0.85,0.1,3.4,0.095,0.3,0.04547014919910908,0.2273507459955454
179,2.438347332235726E18,0.45,0.85,0.1,6.4,0.045,0.25,0.04325475557169416,0.21627377785847082
180,2.438347332235726E18,0.45,0.85,0.1,2.7,0.045,0.25,0.043128282506245307,0.21564141253122654
181,2.438347332235726E18,0.45,0.85,0.1,2.7,0.065,0.3,0.04547692199623496,0.2273846099811748
182,2.438347332235726E18,0.45,0.85,0.1,2.7,0.095,0.25,0.04291755553243994,0.21458777766219972
