id,seed,protection_coefficient,max_soil_health,salinity_sensitivity_slope,salinity_sterility_threshold,sterility_penalty_rate,max_sterility_penalty,error_yield,fitness
80,1.276821374153433E18,0.4,0.85,0.25,3.4,0.025,0.15,0.04412851159488526,0.2206425579744263
81,1.276821374153433E18,0.4,0.85,0.3,3.3,0.025,0.15,0.04469950254972403,0.22349751274862018
82,1.276821374153433E18,0.4,0.85,0.25,9.5,0.095,0.15,0.044564854533256766,0.22282427266628382
83,1.276821374153433E18,0.4,0.85,0.1,3.3,0.025,0.15,0.04466301290602355,0.22331506453011774
84,1.276821374153433E18,0.4,0.7,0.1,3.4,0.095,0.15,0.19509928106996988,0.9754964053498494
85,1.276821374153433E18,0.4,0.85,0.1,3.4,0.02,0.15,0.04474274851838283,0.22371374259191415
86,1.276821374153433E18,0.4,0.85,0.25,3.4,0.095,0.15,0.04405099251465675,0.22025496257328375
87,1.276821374153433E18,0.4,0.8,0.25,9.5,0.095,0.15,0.08594131210650775,0.42970656053253875
88,1.276821374153433E18,0.4,0.85,0.2,3.4,0.025,0.15,0.04393034718336264,0.2196517359168132
89,1.276821374153433E18,0.4,0.85,0.25,3.4,0.085,0.15,0.04405099251465675,0.22025496257328375
90,1.276821374153433E18,0.4,0.85,0.2,3.4,0.095,0.15,0.04384101894775744,0.2192050947387872
91,1.276821374153433E18,0.4,0.85,0.25,3.3,0.095,0.15,0.04405099251465675,0.22025496257328375
92,1.276821374153433E18,0.4,0.85,0.25,3.3,0.095,0.25,0.05043807308057299,0.252190365402865
93,1.276821374153433E18,0.4,0.85,0.25,3.4,0.09,0.15,0.04405099251465675,0.22025496257328375
94,1.276821374153433E18,0.4,0.85,0.15,3.4,0.025,0.15,0.0441100343732052,0.22055017186602602
95,1.276821374153433E18,0.4,0.85,0.2,3.4,0.085,0.15,0.04384101894775744,0.2192050947387872
96,1.276821374153433E18,0.4,0.85,0.1,3.4,0.085,0.15,0.04455245766454489,0.22276228832272443
97,1.276821374153433E18,0.4,0.85,0.1,3.4,0.09,0.15,0.04455245766454489,0.22276228832272443
98,1.276821374153433E18,0.4,0.85,0.15,3.4,0.085,0.15,0.04400960641177331,0.22004803205886656
99,1.276821374153433E18,0.4,0.85,0.4,3.4,0.09,0.15,0.04685560818850031,0.23427804094250157
100,1.276821374153433E18,0.4,0.85,0.25,3.4,0.025,0.45,0.08319108897190039,0.415955444859502
