id,seed,daily_ch4_base,ch4_straw_multiplier,leftover_straw_decrease_coefficient,labor_land_prep_hours_manual,labor_pest_management_hours,labor_sowing_manual_hours,labor_fertilizer_manual_hours,labor_spray_manual_hours,daily_labor_water_awd,daily_labor_water_cf,labor_cost_per_hour,pumping_cost_per_mm,fertilizer_unit_price,pesticide_unit_cost,straw_market_price,muddy_harvest_logistics_factor,grain_quality_discount_factor,fungicide_surcharge_factor,error_methane,error_labor,error_income,fitness
91,6.937931311661824E17,4.2,1.05,0.88,17.0,32.0,11.0,3.0,3.0,1.2,1.9,2.4,0.15,1.65,9.0,0.045,1.4,0.92,1.3,0.27319977742318957,0.17203760291995504,0.13428606508169647,0.5795234454248411
92,6.937931311661824E17,4.2,1.05,0.88,17.0,32.0,11.0,3.0,3.0,1.7,1.9,2.4,0.15,1.65,8.0,0.045,1.75,0.92,1.1,0.27319977742318957,0.17203760291995504,0.13428606508169647,0.5795234454248411
93,6.937931311661824E17,4.2,1.05,0.88,17.0,32.0,11.0,3.0,3.0,1.7,1.9,2.4,0.15,1.65,8.0,0.01,1.4,0.92,1.35,0.27319977742318957,0.17203760291995504,0.13428606508169647,0.5795234454248411
94,6.937931311661824E17,4.2,1.05,0.88,17.0,32.0,11.0,3.0,3.0,1.4,1.9,2.4,0.15,1.65,8.0,0.01,1.75,0.92,1.1,0.27319977742318957,0.17203760291995504,0.13428606508169647,0.5795234454248411
95,6.937931311661824E17,4.2,1.05,0.88,17.0,23.0,11.0,3.0,3.0,1.2,1.9,2.4,0.15,1.55,9.0,0.045,1.4,0.92,1.1,0.27319977742318957,0.13989474577709748,0.16126600902817037,0.5743605322284574
96,6.937931311661824E17,4.2,1.05,0.88,17.0,32.0,11.0,3.0,3.0,1.2,1.9,2.4,0.15,1.65,8.0,0.045,1.2,0.92,1.1,0.27319977742318957,0.17203760291995504,0.13428606508169647,0.5795234454248411
97,6.937931311661824E17,4.2,1.05,0.88,17.0,32.0,11.0,3.0,3.0,1.7,1.1,2.4,0.15,1.65,9.0,0.01,1.75,0.92,1.1,0.27319977742318957,0.11764493676258223,0.45535115885432514,0.8461958730400969
98,6.937931311661824E17,4.2,1.05,0.88,17.0,32.0,11.0,3.0,3.0,1.7,1.9,2.4,0.15,1.65,9.0,0.01,1.75,0.92,1.25,0.27319977742318957,0.17203760291995504,0.13428606508169647,0.5795234454248411
99,6.937931311661824E17,4.2,1.05,0.88,17.0,32.0,11.0,3.0,3.0,1.2,1.9,2.4,0.15,1.55,9.0,0.045,1.4,0.92,1.1,0.27319977742318957,0.17203760291995504,0.13428606508169647,0.5795234454248411
100,6.937931311661824E17,4.2,1.05,0.88,17.0,23.0,11.0,3.0,3.0,1.7,1.9,2.4,0.15,1.65,8.0,0.01,1.75,0.92,1.1,0.27319977742318957,0.13989474577709748,0.16126600902817037,0.5743605322284574
101,6.937931311661824E17,4.2,1.05,0.88,17.0,23.0,11.0,3.0,3.0,1.7,1.9,2.4,0.15,1.65,9.0,0.01,1.75,0.92,1.1,0.27319977742318957,0.13989474577709748,0.16126600902817037,0.5743605322284574
